date UTC since epoch [s],Voltage U[V],master measured U[bit],slave measured U[bit]
1650017394.3534207,59.5,3325,3333
1650017396.4011457,59.5,3324,3333
1650017398.4485803,59.5,3325,3333
1650017400.4972298,59.5,3324,3334
1650017402.5455782,59.5,3325,3333
1650017405.1046057,59.5,3325,3333
1650017407.1524901,59.5,3324,3333
1650017409.2012205,59.5,3324,3333
1650017411.2486885,59.5,3325,3333
1650017413.2967677,59.5,3325,3334
1650017415.3447273,59.5,3325,3333
1650017417.3928125,59.5,3324,3333
1650017419.4407797,59.5,3325,3334
1650017421.4894903,59.5,3324,3333
1650017423.5371382,59.5,3325,3334
1650017425.584947,59.5,3325,3333
1650017427.6329842,59.5,3325,3333
1650017429.6810217,59.5,3325,3333
1650017431.729036,59.5,3324,3333
1650017433.7766585,59.5,3324,3333
1650017435.8251088,59.5,3325,3333
1650017437.8723938,59.5,3325,3333
1650017439.9211204,59.5,3325,3334
1650017441.9694347,59.5,3325,3333
1650017444.017032,59.5,3324,3334
1650017446.0645988,59.5,3325,3333
1650017448.1130352,59.5,3324,3333
1650017450.1625786,59.5,3325,3333
1650017452.2093732,59.5,3324,3333
1650017454.2574654,59.5,3324,3333
1650017456.3051395,59.5,3324,3333
1650017458.3525617,59.5,3325,3334
1650017460.4012957,59.5,3324,3333
1650017462.449155,59.5,3325,3334
1650017464.497158,59.5,3324,3333
1650017466.5451186,59.5,3324,3334
1650017468.593191,59.5,3324,3333
1650017470.6407936,59.5,3324,3333
1650017472.689246,59.5,3324,3334
1650017474.7372155,59.5,3325,3333
1650017476.7851202,59.5,3324,3333
1650017478.8328786,59.5,3325,3333
1650017480.8811183,59.5,3324,3333
1650017482.9291317,59.5,3324,3333
1650017484.977132,59.5,3324,3334
1650017487.024994,59.5,3323,3334
1650017489.0735564,59.5,3325,3333
1650017491.1223524,59.5,3325,3333
1650017493.1688979,59.5,3325,3333
1650017495.2165358,59.5,3324,3334
1650017497.2649462,59.5,3325,3332
1650017499.3133774,59.5,3325,3334
1650017501.3614244,59.5,3324,3333
1650017503.4091222,59.5,3324,3334
1650017505.4589343,59.5,3324,3333
1650017507.50513,59.5,3325,3334
1650017509.5593002,59.5,3325,3333
1650017511.6002944,59.5,3325,3334
1650017513.6483219,59.5,3325,3334
1650017515.6972513,59.5,3325,3333
1650017517.7460804,59.5,3325,3333
1650017519.792449,59.5,3325,3334
1650017521.840673,59.5,3324,3333
1650017523.8892474,59.5,3325,3333
1650017525.936479,59.5,3325,3334
1650017527.9848828,59.5,3324,3333
1650017530.0341115,59.5,3325,3333
1650017532.0826135,59.5,3325,3333
1650017534.1304164,59.5,3325,3333
1650017536.176929,59.5,3325,3333
1650017538.2243505,59.5,3325,3333
1650017540.2732272,59.5,3324,3333
1650017542.321028,59.5,3325,3333
1650017544.3690758,59.5,3324,3333
1650017546.4162068,59.5,3324,3333
1650017548.46507,59.5,3325,3334
1650017550.516505,59.5,3325,3334
1650017552.5605989,59.5,3324,3333
1650017554.6087008,59.5,3324,3334
1650017556.657084,59.5,3325,3333
1650017558.7051318,59.5,3325,3333
1650017560.7533884,59.5,3325,3334
1650017562.8014507,59.5,3325,3333
1650017564.8492067,59.5,3325,3332
1650017566.897644,59.5,3325,3333
1650017568.9453268,59.5,3325,3333
1650017570.9934523,59.5,3325,3334
1650017573.0415378,59.5,3324,3333
1650017575.0893266,59.5,3325,3333
1650017577.1375666,59.5,3324,3333
1650017579.1851046,59.5,3324,3333
1650017581.2328093,59.5,3324,3333
1650017583.2807424,59.5,3325,3334
1650017585.3414698,59.5,3325,3333
1650017587.4033246,59.5,3324,3333
1650017589.9373472,59.5,3325,3333
1650017591.9856308,59.5,3325,3333
1650017594.0338042,59.5,3324,3333
1650017596.0814748,59.5,3325,3333
1650017598.132637,59.5,3325,3333
1650017600.1771579,59.5,3325,3334
1650017602.2257855,59.5,3325,3333
1650017604.27407,59.5,3325,3333
1650017606.3238916,59.5,3325,3333
1650017608.370409,59.5,3325,3333
1650017610.427457,59.5,3324,3333
1650017612.465847,59.5,3324,3333
1650017614.5138824,59.5,3323,3333
1650017616.5618446,59.5,3324,3333
1650017618.610327,59.5,3325,3334
1650017620.6581554,59.5,3325,3333
1650017622.705719,59.5,3325,3333
1650017624.7542331,59.5,3325,3333
1650017626.8016613,59.5,3324,3333
1650017628.8499684,59.5,3325,3333
1650017630.898175,59.5,3324,3334
1650017632.9446056,59.5,3324,3333
1650017634.993061,59.5,3325,3333
1650017637.0401769,59.5,3325,3333
1650017639.0889843,59.5,3325,3333
1650017641.1418247,59.5,3325,3333
1650017643.184916,59.5,3325,3333
1650017645.2327135,59.5,3325,3333
1650017647.2805161,59.5,3325,3333
1650017649.3286495,59.5,3325,3333
1650017651.3768182,59.5,3325,3333
1650017653.425009,59.5,3325,3333
1650017655.4721339,59.5,3324,3333
1650017657.5209355,59.5,3324,3333
1650017659.5689242,59.5,3325,3333
1650017661.6169631,59.5,3324,3333
1650017663.664779,59.5,3324,3334
1650017665.7127411,59.5,3324,3333
1650017667.7600038,59.5,3324,3333
1650017669.808459,59.5,3324,3333
1650017671.8567991,59.5,3324,3333
1650017673.9042575,59.5,3325,3334
1650017675.952228,59.5,3325,3333
1650017678.0006552,59.5,3325,3333
1650017680.051024,59.5,3324,3333
1650017682.0969357,59.5,3325,3333
1650017684.1449938,59.5,3325,3333
1650017686.2138982,59.5,3324,3333
1650017688.7529507,59.5,3325,3333
1650017690.8035545,59.5,3324,3333
1650017692.8488789,59.5,3325,3333
1650017694.8969142,59.5,3325,3333
1650017696.9447014,59.5,3325,3333
1650017698.9926298,59.5,3324,3334
1650017701.0406456,59.5,3324,3333
1650017703.0890076,59.5,3324,3333
1650017705.136854,59.5,3325,3333
1650017707.1841705,59.5,3324,3333
1650017709.232522,59.5,3323,3333
1650017711.280542,59.5,3325,3333
1650017713.328895,59.5,3325,3333
1650017715.3764582,59.5,3324,3333
1650017717.4245312,59.5,3325,3333
1650017719.472152,59.5,3325,3332
1650017721.5204148,59.5,3325,3333
1650017723.5685837,59.5,3324,3333
1650017725.616426,59.5,3325,3333
1650017727.6650088,59.5,3325,3333
1650017729.7127666,59.5,3324,3334
1650017731.7604444,59.5,3325,3333
1650017733.8081222,59.5,3325,3334
1650017735.8569856,59.5,3324,3333
1650017737.9045138,59.5,3324,3333
1650017739.952432,59.5,3324,3333
1650017742.0003917,59.5,3325,3334
1650017744.0485504,59.5,3325,3332
1650017746.096854,59.5,3324,3333
1650017748.1442087,59.5,3324,3333
1650017750.1921744,59.5,3325,3333
1650017752.2402651,59.5,3324,3333
1650017754.2890425,59.5,3324,3333
1650017756.3363008,59.5,3324,3333
1650017758.3843412,59.5,3325,3333
1650017760.432324,59.5,3324,3334
1650017762.4813097,59.5,3324,3333
1650017764.529394,59.5,3324,3333
1650017766.5780008,59.5,3324,3333
1650017768.6248362,59.5,3324,3333
1650017770.67308,59.5,3325,3334
1650017772.7208455,59.5,3325,3334
1650017774.7680588,59.5,3325,3334
1650017776.8168497,59.5,3324,3333
1650017778.8650537,59.5,3324,3334
1650017780.9121957,59.5,3324,3333
1650017782.9620209,59.5,3325,3333
1650017785.0082893,59.5,3324,3333
1650017787.0563045,59.5,3325,3334
1650017789.1048644,59.5,3325,3333
1650017791.1525526,59.5,3324,3333
1650017793.201316,59.5,3325,3333
1650017795.248822,59.5,3324,3333
1650017797.2962172,59.5,3324,3333
1650017799.345262,59.5,3324,3333
1650017801.3924336,59.5,3325,3333
1650017803.4410188,59.5,3324,3333
1650017805.4886422,59.5,3324,3333
1650017807.5370617,59.5,3325,3333
1650017809.5843685,59.5,3325,3333
1650017811.632407,59.5,3325,3333
1650017813.6806014,59.5,3325,3333
1650017815.7289798,59.5,3324,3334
1650017817.7769425,59.5,3325,3333
1650017819.825013,59.5,3325,3333
1650017821.872814,59.5,3325,3334
1650017823.9212015,59.5,3324,3333
1650017825.9689114,59.5,3324,3333
1650017828.0170166,59.5,3324,3333
1650017830.0643804,59.5,3325,3333
1650017832.1122072,59.5,3325,3333
1650017834.160668,59.5,3325,3333
1650017836.2089102,59.5,3324,3332
1650017838.257,59.5,3324,3333
1650017840.3048937,59.5,3325,3333
1650017842.3528335,59.5,3324,3334
1650017844.4009564,59.5,3325,3334
1650017846.4498107,59.5,3325,3333
1650017848.4962165,59.5,3325,3334
1650017850.5442379,59.5,3324,3333
1650017852.5923507,59.5,3325,3333
1650017854.6407738,59.5,3325,3333
1650017856.6884825,59.5,3325,3333
1650017858.736244,59.5,3324,3333
1650017860.7843618,59.5,3325,3334
1650017862.832088,59.5,3325,3333
1650017864.882116,59.5,3324,3333
1650017866.9283497,59.5,3324,3333
1650017868.9764688,59.5,3324,3334
1650017871.0247476,59.5,3324,3333
1650017873.0726273,59.5,3325,3333
1650017875.1200147,59.5,3324,3333
1650017877.168384,59.5,3325,3333
1650017879.21625,59.5,3324,3333
1650017881.2645533,59.5,3324,3333
1650017883.311998,59.5,3324,3334
1650017885.3601093,59.5,3324,3334
1650017887.409803,59.5,3325,3333
1650017889.4566007,59.5,3324,3332
1650017891.5046792,59.5,3324,3334
1650017893.5529401,59.5,3325,3333
1650017895.6016624,59.5,3324,3333
1650017897.6481307,59.5,3325,3333
1650017899.6962848,59.5,3324,3333
1650017901.7442968,59.5,3324,3333
1650017903.7926815,59.5,3324,3334
1650017905.8402395,59.5,3325,3333
1650017907.8888676,59.5,3325,3334
1650017909.9369917,59.5,3325,3334
1650017911.9841094,59.5,3325,3334
1650018010.8010173,59.5,3325,3333
